DATE,GPDIC1
1947-01-01,222.7
1947-04-01,205.6
1947-07-01,199.6
1947-10-01,238.2
1948-01-01,262.6
1948-04-01,278.9
1948-07-01,281.7
1948-10-01,268.3
1949-01-01,228.0
1949-04-01,197.7
1949-07-01,214.1
1949-10-01,203.6
1950-01-01,251.9
1950-04-01,278.9
1950-07-01,302.9
1950-10-01,341.3
1951-01-01,306.5
1951-04-01,313.6
1951-07-01,290.5
1951-10-01,267.3
1952-01-01,274.3
1952-04-01,253.6
1952-07-01,267.2
1952-10-01,286.5
1953-01-01,292.6
1953-04-01,294.3
1953-07-01,288.1
1953-10-01,267.3
1954-01-01,265.4
1954-04-01,264.8
1954-07-01,277.6
1954-10-01,289.7
1955-01-01,318.7
1955-04-01,337.9
1955-07-01,343.1
1955-10-01,351.1
1956-01-01,341.1
1956-04-01,338.4
1956-07-01,335.4
1956-10-01,332.2
1957-01-01,327.1
1957-04-01,326.8
1957-07-01,334.2
1957-10-01,308.5
1958-01-01,287.7
1958-04-01,281.9
1958-07-01,303.5
1958-10-01,329.4
1959-01-01,347.4
1959-04-01,374.4
1959-07-01,350.2
1959-10-01,361.6
1960-01-01,398.0
1960-04-01,360.9
1960-07-01,360.0
1960-10-01,320.1
1961-01-01,328.4
1961-04-01,351.4
1961-07-01,378.7
1961-10-01,385.0
1962-01-01,405.7
1962-04-01,402.5
1962-07-01,409.4
1962-10-01,397.4
1963-01-01,418.3
1963-04-01,425.0
1963-07-01,438.0
1963-10-01,443.4
1964-01-01,460.0
1964-04-01,458.3
1964-07-01,469.0
1964-10-01,473.5
1965-01-01,518.6
1965-04-01,520.0
1965-07-01,538.1
1965-10-01,541.6
1966-01-01,584.9
1966-04-01,576.2
1966-07-01,572.0
1966-10-01,575.3
1967-01-01,561.2
1967-04-01,540.9
1967-07-01,556.8
1967-10-01,568.8
1968-01-01,580.2
1968-04-01,602.4
1968-07-01,586.0
1968-10-01,592.3
1969-01-01,627.2
1969-04-01,623.5
1969-07-01,636.2
1969-10-01,605.5
1970-01-01,587.4
1970-04-01,588.7
1970-07-01,598.3
1970-10-01,566.5
1971-01-01,632.5
1971-04-01,650.5
1971-07-01,658.4
1971-10-01,640.6
1972-01-01,682.9
1972-04-01,721.6
1972-07-01,731.9
1972-10-01,736.5
1973-01-01,779.6
1973-04-01,812.9
1973-07-01,783.4
1973-10-01,811.3
1974-01-01,765.0
1974-04-01,761.9
1974-07-01,722.4
1974-10-01,726.8
1975-01-01,609.7
1975-04-01,591.6
1975-07-01,637.5
1975-10-01,655.2
1976-01-01,718.5
1976-04-01,746.9
1976-07-01,749.5
1976-10-01,755.1
1977-01-01,790.1
1977-04-01,846.8
1977-07-01,889.6
1977-10-01,867.3
1978-01-01,884.2
1978-04-01,941.6
1978-07-01,969.1
1978-10-01,991.5
1979-01-01,993.1
1979-04-01,992.2
1979-07-01,975.5
1979-10-01,958.2
1980-01-01,951.6
1980-04-01,870.7
1980-07-01,813.3
1980-10-01,889.2
1981-01-01,971.7
1981-04-01,931.3
1981-07-01,983.5
1981-10-01,948.4
1982-01-01,854.9
1982-04-01,853.8
1982-07-01,845.7
1982-10-01,780.3
1983-01-01,807.5
1983-04-01,879.1
1983-07-01,934.2
1983-10-01,1025.1
1984-01-01,1124.2
1984-04-01,1160.7
1984-07-01,1185.8
1984-10-01,1170.4
1985-01-01,1138.3
1985-04-01,1157.7
1985-07-01,1149.8
1985-10-01,1192.2
1986-01-01,1191.9
1986-04-01,1171.0
1986-07-01,1139.5
1986-10-01,1143.0
1987-01-01,1173.8
1987-04-01,1174.4
1987-07-01,1174.6
1987-10-01,1254.6
1988-01-01,1194.4
1988-04-01,1222.9
1988-07-01,1229.7
1988-10-01,1248.4
1989-01-01,1290.7
1989-04-01,1278.3
1989-07-01,1266.9
1989-10-01,1257.7
1990-01-01,1270.0
1990-04-01,1270.4
1990-07-01,1245.6
1990-10-01,1176.3
1991-01-01,1137.1
1991-04-01,1137.2
1991-07-01,1159.8
1991-10-01,1201.0
1992-01-01,1178.9
1992-04-01,1245.7
1992-07-01,1255.8
1992-10-01,1294.2
1993-01-01,1324.6
1993-04-01,1332.1
1993-07-01,1323.1
1993-10-01,1392.5
1994-01-01,1446.2
1994-04-01,1517.1
1994-07-01,1492.2
1994-10-01,1553.5
1995-01-01,1570.3
1995-04-01,1537.7
1995-07-01,1528.6
1995-10-01,1566.7
1996-01-01,1590.6
1996-04-01,1667.7
1996-07-01,1744.5
1996-10-01,1743.9
1997-01-01,1781.6
1997-04-01,1880.0
1997-07-01,1913.6
1997-10-01,1940.7
1998-01-01,2027.1
1998-04-01,2013.4
1998-07-01,2067.2
1998-10-01,2125.5
1999-01-01,2186.1
1999-04-01,2188.0
1999-07-01,2242.8
1999-10-01,2308.6
2000-01-01,2287.8
2000-04-01,2424.5
2000-07-01,2394.1
2000-10-01,2395.6
2001-01-01,2285.3
2001-04-01,2277.1
2001-07-01,2236.6
2001-10-01,2126.9
2002-01-01,2202.8
2002-04-01,2224.9
2002-07-01,2224.6
2002-10-01,2220.7
2003-01-01,2239.5
2003-04-01,2251.3
2003-07-01,2330.9
2003-10-01,2413.1
2004-01-01,2414.5
2004-04-01,2500.9
2004-07-01,2539.4
2004-10-01,2590.6
2005-01-01,2664.4
2005-04-01,2630.5
2005-07-01,2657.9
2005-10-01,2737.6
2006-01-01,2773.8
2006-04-01,2755.7
2006-07-01,2727.6
2006-10-01,2663.0
2007-01-01,2638.5
2007-04-01,2674.7
2007-07-01,2658.1
2007-10-01,2605.2
2008-01-01,2517.5
2008-04-01,2472.6
2008-07-01,2403.8
2008-10-01,2190.0
2009-01-01,1937.7
2009-04-01,1820.5
2009-07-01,1804.7
2009-10-01,1949.6
2010-01-01,2012.9
2010-04-01,2116.9
2010-07-01,2185.7
2010-10-01,2166.1
2011-01-01,2125.9
2011-04-01,2208.0
2011-07-01,2214.0
2011-10-01,2373.7
2012-01-01,2429.6
2012-04-01,2489.1
2012-07-01,2482.0
2012-10-01,2462.2
2013-01-01,2543.0
2013-04-01,2574.3
2013-07-01,2656.8
2013-10-01,2692.0
2014-01-01,2646.4
2014-04-01,2717.5
2014-07-01,2776.3
2014-10-01,2794.1
2015-01-01,2860.8
2015-04-01,2867.7
2015-07-01,2882.2
2015-10-01,2865.4
2016-01-01,2841.5
2016-04-01,2783.8
2016-07-01,2804.7
2016-10-01,2868.2
2017-01-01,2898.4
